customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_sequential,payment_type,payment_installments,payment_value,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,seller_zip_code_prefix,seller_city,seller_state,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,cluster
7f2357cfd99c900565e6ffd6d2708d9d,466c3a741a952640c1984a48ebbffbf9,22251,rio de janeiro,RJ,f72289715f4416fb6e9a289031977b6d,delivered,2017-11-24 22:57:06,2017-11-25 01:57:33,2017-11-30 22:32:03,2017-12-08 21:29:11,2017-12-19 00:00:00,1,43944a8f8f0b7ae86b6c3d3c2f257375,0adac9fbd9a2b63cccaac4f8756c1ca8,2017-11-30 01:57:33,-33.99300208050597,-36.639605450480175,1.0,credit_card,-35.538419697145606,-35.006459062686396,111c42f1d2d378234a17a445dd9f7676,-46.494905179649415,,,2017-12-09 00:00:00,2017-12-11 10:41:12,eletrodomesticos,-44.89070296552773,-42.63950458609377,-46.75715144816118,-43.13014829398532,-37.37330516983428,-47.849006296268335,-42.71833386754426,home_appliances,13290,louveira,SP,22251.0,-47.44338661556371,-43.18674295048741,rio de janeiro,RJ,5
277046fb06e3f5185b0f4a816b811286,05292bc3f6db7fd79133285a32a82d53,13142,paulinia,SP,43e377b8eb0c36efdec49438986066b3,delivered,2018-03-12 23:16:34,2018-03-14 14:28:54,2018-03-14 23:11:06,2018-03-17 00:07:40,2018-03-22 00:00:00,1,2d4500a3d35334916c955b3c365dbefe,ba90964cff9b9e0e6f32b23b82465f7b,2018-03-20 14:28:54,-23.36480562503731,-45.61421206340826,1.0,credit_card,-35.538419697145606,-26.332478820503713,0122a0c546107cbbf250f56340c1b737,-43.43933464705219,,Produto excelente. Empresa rápida e o produto chegou antes do prazo. Parabéns,2018-03-18 00:00:00,2018-03-18 11:13:34,eletroportateis,-42.44975039541705,-32.56830375241964,-44.42874639521397,-44.17800726757159,-42.92190635016577,-46.62792456249712,-43.06476084966878,small_appliances,7140,guarulhos,SP,13142.0,-47.32340477776716,-47.17683629156326,paulinia,SP,5
019200fa574c9eda0fbc82c71fcc8fbe,7530369a1ddf13882910895b0559423d,3951,sao paulo,SP,ab4354630db26a599455989a1091e50f,delivered,2018-07-24 23:09:26,2018-07-24 23:24:21,2018-07-25 14:14:00,2018-07-28 19:11:47,2018-08-14 00:00:00,1,e91042dbe3df0b9887d7044968286f57,2a167ca73899c85001a837d8fb4962f6,2018-07-30 23:24:21,-8.485330587381192,-43.32581522051064,1.0,credit_card,-35.538419697145606,-13.105078750175878,600307181dd54ea18f369648ab6b3dee,-43.43933464705219,"Ótima loja , ","Adorei a minha compra , chegou muito rápido ",2018-07-29 00:00:00,2018-07-30 01:21:11,construcao_ferramentas_ferramentas,-45.70435382223129,-36.92358554415657,-37.44353123637234,-45.96044778965132,-46.20062522945256,-48.459547163153935,-42.02547990329522,costruction_tools_tools,37540,sao paulo,SP,3951.0,-47.905077427995685,-46.48957476496762,sao paulo,SP,5
e4dbb700c76f5706dd58f9b9ef613aed,f8f338d24407d8c6da17ada8bf6eb613,6290,osasco,SP,63f5cc3a2a31c01c270d24d397a54274,delivered,2018-05-29 07:58:56,2018-05-30 07:11:23,2018-05-30 13:12:00,2018-06-05 21:54:42,2018-06-21 00:00:00,1,ffd2365fb8224dc66883df9351d65deb,fa1c13f2614d7b5c4749cbc52fecda94,2018-06-07 07:11:23,-28.681029492062734,-47.88471083043964,1.0,credit_card,-38.54149142146164,-31.164458607813824,98fd2d2da39180e75d4b856a76de325c,-43.43933464705219, Bom,,2018-06-06 00:00:00,2018-06-08 18:09:52,relogios_presentes,-41.63609953871348,-47.193600953202434,-46.75715144816118,-48.08533294536697,-49.73155325329988,-47.54373586282553,-49.64687351003467,watches_gifts,13170,sumare,SP,6290.0,-47.85817933211424,-46.77405856691081,osasco,SP,5
ed0e1816a16e9dc9276b3b6afc83daab,9d317acb1c32146e752981044c0ea5bd,38408,uberlandia,MG,591eeea2a5c1e61b86b952cda475385a,delivered,2017-06-20 14:53:28,2017-06-20 15:03:30,2017-06-30 12:36:00,2017-07-12 21:19:46,2017-07-19 00:00:00,1,2483416c14aa8d93dad96745a9230bfa,ccc4bbb5f32a6ab2b7066a4130f114e3,2017-06-29 15:03:30,-30.57072282184506,-45.59631398754202,1.0,credit_card,-35.538419697145606,-32.656144390482154,0077b276212a11db4bb5d6084d6d9b8a,-46.494905179649415,,Recebi dentro do prazo,2017-07-13 00:00:00,2017-07-17 10:36:18,beleza_saude,-42.85657582376883,-38.03570457514218,-49.08555650110839,-47.904928359192844,-43.67853378384734,-45.10157239528311,-43.75761481391782,health_beauty,80310,curitiba,PR,38408.0,-44.53605475931198,-48.24236513543774,uberlandia,MG,5
ad21255ff9650ff11d50513eff3eed15,005226be8d5b972d0f72b4e8a79f322b,22280,rio de janeiro,RJ,8907bb31267526a99da12076a84a87b6,delivered,2018-04-01 22:07:00,2018-04-02 22:09:37,2018-04-07 01:19:27,2018-04-07 16:44:27,2018-04-26 00:00:00,1,df0c26d7ddb998e2517658a55e46e48a,e882b2a25a10b9c057cc49695f222c19,2018-04-08 22:09:37,-15.669991391278,-41.23685408012254,1.0,credit_card,-35.538419697145606,-19.25895894651727,11be3aff540c1d316b511f252f894243,-43.43933464705219,,,2018-04-08 00:00:00,2018-04-09 10:32:18,eletrodomesticos_2,-48.55213182069376,-50.34978233722863,-49.08555650110839,-32.88921729439997,-39.8953966154395,-46.62792456249712,-41.679052921170694,home_appliances_2,25963,teresopolis,RJ,22280.0,-47.447543309964225,-43.18739520231989,rio de janeiro,RJ,5
c4a111edfb69bcf3c00710ccfd23575c,c9c0c82af514e815fa47534f71113ebe,57311,arapiraca,AL,f3d1583d73bad757e13d4e25b24efb32,delivered,2017-04-08 17:02:22,2017-04-08 17:10:18,2017-04-12 17:04:18,2017-05-16 12:33:46,2017-05-12 00:00:00,1,d2e131d6f19ae0d665fc1a6c420b4f4c,7e93a43ef30c4f03f38b393420bc753a,2017-04-13 17:10:18,-28.126237637087268,-43.98548715958057,1.0,credit_card,-38.54149142146164,-30.392961333100438,8f90f6de3cd4457572ab88f81eba12d6,-55.6616167774411,,Ate o presente momento nao recebi meu produto acho uma falta de respeito com o cliente,2017-05-14 00:00:00,2017-05-14 22:27:43,relogios_presentes,-53.02721153256335,-48.92080257674433,-49.08555650110839,-47.73208564190026,-48.974925819618306,-46.93319499593992,-48.607592563661115,watches_gifts,6429,barueri,SP,57311.0,-37.89358827128498,-36.65923020485724,arapiraca,AL,5
c33c19eea4404b369fca569a72a7b35f,41678bd77f241a2270d0a5d905b22020,6414,barueri,SP,cdae097ae448ea48b9b45e2b3569e9b6,delivered,2018-07-04 20:50:40,2018-07-05 16:24:39,2018-07-19 09:34:00,2018-07-20 17:37:29,2018-07-25 00:00:00,1,62084031a76caa648aeed58ef2fcfbff,c6bda72e4dbf5c5866b13cb1810c6d03,2018-07-16 21:31:57,-29.722592744698662,-45.18465824261854,1.0,credit_card,-46.049170732251746,-31.88166187843009,c65f9f22e2b150819e656fbf0d8f136e,-43.43933464705219,,,2018-07-21 00:00:00,2018-07-23 21:27:29,bebes,-57.09546581608116,-43.54659608622728,-44.42874639521397,-40.05462819316048,-44.182952072968384,-40.82778632708387,-40.639771974797135,baby,3087,sao paulo,SP,6414.0,-47.84169814780829,-46.87468669635919,barueri,SP,5
06703b3d47c703a3e163cd1769c2c53e,8f3eef80fef6d26aca45231210bcfe63,89900,sao miguel do oeste,SC,410ca45d84f47d06fba1e4476a10b392,delivered,2017-03-30 13:10:18,2017-03-31 13:15:49,2017-03-31 14:12:10,2017-04-05 13:51:59,2017-05-05 00:00:00,1,06cd420a1b028388e0bf1f78daf20411,eeb6de78f79159600292e314a77cbd18,2017-04-20 13:15:19,-29.954287427427875,-46.5321276685482,1.0,credit_card,-38.54149142146164,-32.18335742696976,1629d21ef9e4f2d15c7d7f88b6d9bfe5,-43.43933464705219,,"Gostei do produto, a entrega foi rápida, ótimo!!",2017-04-06 00:00:00,2017-04-07 11:40:03,ferramentas_jardim,-51.39990981915623,-45.864028480404,-49.08555650110839,-45.36630094895808,-48.21829838593674,-46.62792456249712,-49.300446527910154,garden_tools,88501,lages,SC,89900.0,-50.179812873927034,-53.51449582910278,sao miguel do oeste,SC,5
23f1d9792d6032bbdb97d6ae3988d21f,8e323c75fdec6658ed2933b3f2ecc33a,78320,juina,MT,d4571886185581e35543a4c104bd0cd4,delivered,2018-05-08 09:27:13,2018-05-08 09:50:40,2018-05-08 12:54:00,2018-05-18 15:53:45,2018-06-06 00:00:00,1,06cd420a1b028388e0bf1f78daf20411,eeb6de78f79159600292e314a77cbd18,2018-05-10 09:50:40,-26.128136703459163,-33.62505810100946,1.0,credit_card,-35.538419697145606,-27.88312304061084,e2c02a940257cd961c16e3c796c02482,-43.43933464705219,Entrega Rápida,"Ficamos muito satisfeitos com o pedido, visto que o mesmo foi entregue antes do prazo previsto e cumprindo todos os ítens acordados.",2018-05-19 00:00:00,2018-05-23 12:54:49,ferramentas_jardim,-51.39990981915623,-45.864028480404,-49.08555650110839,-45.36630094895808,-48.21829838593674,-46.62792456249712,-49.300446527910154,garden_tools,88501,lages,SC,78320.0,-39.10692848785693,-58.77167173409165,juina,MT,5
